type,type,code,description,standardised_name,concat,,
BNF,SGLT2I,0601023ANBBABAB,Jardiance 25mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ANBBABAB', 'Jardiance 25mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023APAAAAAA,Canagliflozin 50mg / Metformin 850mg tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023APAAAAAA', 'Canagliflozin 50mg / Metformin 850mg tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023APAAABAB,Canagliflozin 50mg / Metformin 1g tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023APAAABAB', 'Canagliflozin 50mg / Metformin 1g tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023APBBAAAA,Vokanamet 50mg/850mg tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023APBBAAAA', 'Vokanamet 50mg/850mg tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023APBBABAB,Vokanamet 50mg/1000mg tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023APBBABAB', 'Vokanamet 50mg/1000mg tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023ARAAAAAA,Empagliflozin 5mg / Metformin 850mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARAAAAAA', 'Empagliflozin 5mg / Metformin 850mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ARAAABAB,Empagliflozin 5mg / Metformin 1g tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARAAABAB', 'Empagliflozin 5mg / Metformin 1g tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ARAAACAC,Empagliflozin 12.5mg / Metformin 850mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARAAACAC', 'Empagliflozin 12.5mg / Metformin 850mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ARAAADAD,Empagliflozin 12.5mg / Metformin 1g tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARAAADAD', 'Empagliflozin 12.5mg / Metformin 1g tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ARBBAAAA,Synjardy 5mg/850mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARBBAAAA', 'Synjardy 5mg/850mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ARBBABAB,Synjardy 5mg/1000mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARBBABAB', 'Synjardy 5mg/1000mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ARBBACAC,Synjardy 12.5mg/850mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARBBACAC', 'Synjardy 12.5mg/850mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ARBBADAD,Synjardy 12.5mg/1000mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ARBBADAD', 'Synjardy 12.5mg/1000mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023AVAAAAAA,Saxagliptin 5mg / Dapagliflozin 10mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023AVAAAAAA', 'Saxagliptin 5mg / Dapagliflozin 10mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023AVBBAAAA,Qtern 5mg/10mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023AVBBAAAA', 'Qtern 5mg/10mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023AXAAAAAA,Ertugliflozin 5mg tablets,Ertugliflozin,"  ('BNF', 'SGLT2I', '0601023AXAAAAAA', 'Ertugliflozin 5mg tablets', 'Ertugliflozin'),",,
BNF,SGLT2I,0601023AXAAABAB,Ertugliflozin 15mg tablets,Ertugliflozin,"  ('BNF', 'SGLT2I', '0601023AXAAABAB', 'Ertugliflozin 15mg tablets', 'Ertugliflozin'),",,
BNF,SGLT2I,0601023AXBBAAAA,Steglatro 5mg tablets,Ertugliflozin,"  ('BNF', 'SGLT2I', '0601023AXBBAAAA', 'Steglatro 5mg tablets', 'Ertugliflozin'),",,
BNF,SGLT2I,0601023AXBBABAB,Steglatro 15mg tablets,Ertugliflozin,"  ('BNF', 'SGLT2I', '0601023AXBBABAB', 'Steglatro 15mg tablets', 'Ertugliflozin'),",,
BNF,SGLT2I,0601023AYAAAAAA,Empagliflozin 10mg / Linagliptin 5mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023AYAAAAAA', 'Empagliflozin 10mg / Linagliptin 5mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023AYAAABAB,Empagliflozin 25mg / Linagliptin 5mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023AYAAABAB', 'Empagliflozin 25mg / Linagliptin 5mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023AYBBAAAA,Glyxambi 10mg/5mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023AYBBAAAA', 'Glyxambi 10mg/5mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023AYBBABAB,Glyxambi 25mg/5mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023AYBBABAB', 'Glyxambi 25mg/5mg tablets', 'Empagliflozin'),",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
