type,type,code,description,standardised_name,concat
BNF,DIURETIC,0202020L0AAAEAE,Furosemide 20mg/2ml solution for injection vials,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AAAEAE', 'Furosemide 20mg/2ml solution for injection vials', 'Furosemide'),"
BNF,DIURETIC,0202020L0AAATAT,Furosemide 5mg/5ml oral solution sugar free,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AAATAT', 'Furosemide 5mg/5ml oral solution sugar free', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABBBB,Furosemide 20mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABBBB', 'Furosemide 20mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABDBD,Furosemide 40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABDBD', 'Furosemide 40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABIBI,Furosemide 500mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABIBI', 'Furosemide 500mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABNBN,Furosemide 40mg/5ml oral solution sugar free,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABNBN', 'Furosemide 40mg/5ml oral solution sugar free', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABPBP,Furosemide 50mg/5ml oral solution sugar free,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABPBP', 'Furosemide 50mg/5ml oral solution sugar free', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABQBQ,Furosemide 20mg/5ml oral solution sugar free,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABQBQ', 'Furosemide 20mg/5ml oral solution sugar free', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABSBS,Furosemide 80mg/8ml inj pre-filled syringes,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABSBS', 'Furosemide 80mg/8ml inj pre-filled syringes', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABXBX,Furosemide 50mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABXBX', 'Furosemide 50mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABYBY,Furosemide 40mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABYBY', 'Furosemide 40mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AABZBZ,Furosemide 20mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AABZBZ', 'Furosemide 20mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACACA,Furosemide 5mg/5ml oral solution,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACACA', 'Furosemide 5mg/5ml oral solution', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACBCB,Furosemide 80mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACBCB', 'Furosemide 80mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACCCC,Furosemide 30mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACCCC', 'Furosemide 30mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACDCD,Furosemide 10mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACDCD', 'Furosemide 10mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACECE,Furosemide 60mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACECE', 'Furosemide 60mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACFCF,Furosemide 120mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACFCF', 'Furosemide 120mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACGCG,Furosemide 12.5mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACGCG', 'Furosemide 12.5mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACHCH,Furosemide 250mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACHCH', 'Furosemide 250mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACICI,Furosemide 6.5mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACICI', 'Furosemide 6.5mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACJCJ,Furosemide 15mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACJCJ', 'Furosemide 15mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACKCK,Furosemide 2mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACKCK', 'Furosemide 2mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACLCL,Furosemide 1mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACLCL', 'Furosemide 1mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACMCM,Furosemide 3mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACMCM', 'Furosemide 3mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACNCN,Furosemide 100mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACNCN', 'Furosemide 100mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACPCP,Furosemide 25mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACPCP', 'Furosemide 25mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACRCR,Furosemide 500mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACRCR', 'Furosemide 500mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACSCS,Furosemide 35mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACSCS', 'Furosemide 35mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACTCT,Furosemide 4.5mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACTCT', 'Furosemide 4.5mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACXCX,Furosemide 200mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACXCX', 'Furosemide 200mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AACYCY,Furosemide 37.5mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AACYCY', 'Furosemide 37.5mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AADADA,Furosemide 330mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AADADA', 'Furosemide 330mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AADDDD,Furosemide 8mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AADDDD', 'Furosemide 8mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AADEDE,Furosemide 4mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AADEDE', 'Furosemide 4mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AADFDF,Furosemide 3.4mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AADFDF', 'Furosemide 3.4mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202020L0AADIDI,Furosemide 250mg/25ml solution for injection vials,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AADIDI', 'Furosemide 250mg/25ml solution for injection vials', 'Furosemide'),"
BNF,DIURETIC,0202020L0AADJDJ,Furosemide 40mg/4ml solution for injection ampoules,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AADJDJ', 'Furosemide 40mg/4ml solution for injection ampoules', 'Furosemide'),"
BNF,DIURETIC,0202020L0AADKDK,Furosemide 5mg/5ml oral suspension,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AADKDK', 'Furosemide 5mg/5ml oral suspension', 'Furosemide'),"
BNF,DIURETIC,0202020L0BCADBI,Diuresal 500mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BCADBI', 'Diuresal 500mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0BGAAAT,Lasix 5mg/5ml oral solution,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BGAAAT', 'Lasix 5mg/5ml oral solution', 'Furosemide'),"
BNF,DIURETIC,0202020L0BGABAA,Lasix 20mg/2ml solution for injection ampoules,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BGABAA', 'Lasix 20mg/2ml solution for injection ampoules', 'Furosemide'),"
BNF,DIURETIC,0202020L0BGAGBB,Lasix 20mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BGAGBB', 'Lasix 20mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0BGAHBD,Lasix 40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BGAHBD', 'Lasix 40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0BGAIBI,Lasix 500mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BGAIBI', 'Lasix 500mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0BIAGBS,Furosemide 80mg/8ml inj Minijet pre-filled syringes,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BIAGBS', 'Furosemide 80mg/8ml inj Minijet pre-filled syringes', 'Furosemide'),"
BNF,DIURETIC,0202020L0BPAABD,Frusid 40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BPAABD', 'Frusid 40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0BWAABD,Froop 40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BWAABD', 'Froop 40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202020L0BZAABQ,Frusol 20mg/5ml oral solution,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BZAABQ', 'Frusol 20mg/5ml oral solution', 'Furosemide'),"
BNF,DIURETIC,0202020L0BZABBN,Frusol 40mg/5ml oral solution,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BZABBN', 'Frusol 40mg/5ml oral solution', 'Furosemide'),"
BNF,DIURETIC,0202020L0BZACBP,Frusol 50mg/5ml oral solution,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0BZACBP', 'Frusol 50mg/5ml oral solution', 'Furosemide'),"
BNF,DIURETIC,0202020U0AAAAAA,Torasemide 2.5mg tablets,Torsemide,"  ('BNF', 'DIURETIC', '0202020U0AAAAAA', 'Torasemide 2.5mg tablets', 'Torsemide'),"
BNF,DIURETIC,0202020U0AAABAB,Torasemide 5mg tablets,Torsemide,"  ('BNF', 'DIURETIC', '0202020U0AAABAB', 'Torasemide 5mg tablets', 'Torsemide'),"
BNF,DIURETIC,0202020U0AAACAC,Torasemide 10mg tablets,Torsemide,"  ('BNF', 'DIURETIC', '0202020U0AAACAC', 'Torasemide 10mg tablets', 'Torsemide'),"
BNF,DIURETIC,0202020U0BBAAAA,Torem 2.5mg tablets,Torsemide,"  ('BNF', 'DIURETIC', '0202020U0BBAAAA', 'Torem 2.5mg tablets', 'Torsemide'),"
BNF,DIURETIC,0202020U0BBABAB,Torem 5mg tablets,Torsemide,"  ('BNF', 'DIURETIC', '0202020U0BBABAB', 'Torem 5mg tablets', 'Torsemide'),"
BNF,DIURETIC,0202020U0BBACAC,Torem 10mg tablets,Torsemide,"  ('BNF', 'DIURETIC', '0202020U0BBACAC', 'Torem 10mg tablets', 'Torsemide'),"
BNF,DIURETIC,0202040B0AAAAAA,Co-amilofruse 5mg/40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAAAAA', 'Co-amilofruse 5mg/40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0AAABAB,Co-amilofruse 2.5mg/20mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAABAB', 'Co-amilofruse 2.5mg/20mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0AAACAC,Co-amilofruse 10mg/80mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAACAC', 'Co-amilofruse 10mg/80mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0AAAHAH,Co-amilofruse 5mg/40mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAAHAH', 'Co-amilofruse 5mg/40mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202040B0AAAIAI,Co-amilofruse 10mg/80mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAAIAI', 'Co-amilofruse 10mg/80mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202040B0AAAJAJ,Co-amilofruse 2.5mg/20mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAAJAJ', 'Co-amilofruse 2.5mg/20mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202040B0AAALAL,Amiloride 10mg/5ml / Furosemide 125mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAALAL', 'Amiloride 10mg/5ml / Furosemide 125mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202040B0AAAMAM,Co-amilofruse 1.25mg/10mg/5ml oral liquid,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0AAAMAM', 'Co-amilofruse 1.25mg/10mg/5ml oral liquid', 'Furosemide'),"
BNF,DIURETIC,0202040B0BBAAAA,Frumil 40mg/5mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0BBAAAA', 'Frumil 40mg/5mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0BBABAB,Frumil LS 20mg/2.5mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0BBABAB', 'Frumil LS 20mg/2.5mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0BBACAC,Frumil Forte 10mg/80mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0BBACAC', 'Frumil Forte 10mg/80mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0BCAAAA,Lasoride 5mg/40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0BCAAAA', 'Lasoride 5mg/40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0BDAAAA,Fru-Co 5mg/40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0BDAAAA', 'Fru-Co 5mg/40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0BGAAAA,Froop Co 5mg/40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0BGAAAA', 'Froop Co 5mg/40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040B0BHAAAA,Komil 5mg/40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040B0BHAAAA', 'Komil 5mg/40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040D0AAAAAA,Amiloride 5mg / Bumetanide 1mg tablets,Bumetanide,"  ('BNF', 'DIURETIC', '0202040D0AAAAAA', 'Amiloride 5mg / Bumetanide 1mg tablets', 'Bumetanide'),"
BNF,DIURETIC,0202040D0BBAAAA,Burinex A 5mg/1mg tablets,Bumetanide,"  ('BNF', 'DIURETIC', '0202040D0BBAAAA', 'Burinex A 5mg/1mg tablets', 'Bumetanide'),"
BNF,DIURETIC,0202040T0BBAAAA,Lasilactone 20mg/50mg capsules,Furosemide,"  ('BNF', 'DIURETIC', '0202040T0BBAAAA', 'Lasilactone 20mg/50mg capsules', 'Furosemide'),"
BNF,DIURETIC,0202040U0BBAAAA,Frusene 50mg/40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040U0BBAAAA', 'Frusene 50mg/40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202080C0AAAAAA,Bumetanide 500microg/Pot chlor 573mg (pot 7.7mmol) MR tab,Bumetanide,"  ('BNF', 'DIURETIC', '0202080C0AAAAAA', 'Bumetanide 500microg/Pot chlor 573mg (pot 7.7mmol) MR tab', 'Bumetanide'),"
BNF,DIURETIC,0202080C0BBAAAA,Burinex K modified-release tablets,Bumetanide,"  ('BNF', 'DIURETIC', '0202080C0BBAAAA', 'Burinex K modified-release tablets', 'Bumetanide'),"
BNF,DIURETIC,0202080K0AAAAAA,Furosemide 20mg/Pot chlor 750mg (pot 10mmol) MR tab,Furosemide,"  ('BNF', 'DIURETIC', '0202080K0AAAAAA', 'Furosemide 20mg/Pot chlor 750mg (pot 10mmol) MR tab', 'Furosemide'),"
BNF,DIURETIC,0202080K0AAABAB,Furosemide 40mg/Pot chlor 600mg (pot 8mmol) MR tab,Furosemide,"  ('BNF', 'DIURETIC', '0202080K0AAABAB', 'Furosemide 40mg/Pot chlor 600mg (pot 8mmol) MR tab', 'Furosemide'),"
BNF,DIURETIC,0202080K0BBAAAA,Lasikal modified-release tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202080K0BBAAAA', 'Lasikal modified-release tablets', 'Furosemide'),"
BNF,DIURETIC,0202080K0BCAAAB,Diumide-K Continus tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202080K0BCAAAB', 'Diumide-K Continus tablets', 'Furosemide'),"
BNF,DIURETIC,0202040D0AAAAAA,Amiloride hydrochloride with loop diuretic,Furosemide,"  ('BNF', 'DIURETIC', '0202040D0AAAAAA', 'Amiloride hydrochloride with loop diuretic', 'Furosemide'),"
BNF,DIURETIC,0202040D0AAABAB,Amiloride hydrochloride with loop diuretic,Furosemide,"  ('BNF', 'DIURETIC', '0202040D0AAABAB', 'Amiloride hydrochloride with loop diuretic', 'Furosemide'),"
BNF,DIURETIC,0202040D0BBAAAA,Burinex-A,Furosemide,"  ('BNF', 'DIURETIC', '0202040D0BBAAAA', 'Burinex-A', 'Furosemide'),"
BNF,DIURETIC,0202040T0AAAAAA,Spironolactone 50mg / Furosemide 20mg capsules,Furosemide,"  ('BNF', 'DIURETIC', '0202040T0AAAAAA', 'Spironolactone 50mg / Furosemide 20mg capsules', 'Furosemide'),"
BNF,DIURETIC,0202040U0AAAAAA,Triamterene 50mg / Furosemide 40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040U0AAAAAA', 'Triamterene 50mg / Furosemide 40mg tablets', 'Furosemide'),"
BNF,DIURETIC,0202040U0BBAAAA,Frusene 50mg/40mg tablets,Furosemide,"  ('BNF', 'DIURETIC', '0202040U0BBAAAA', 'Frusene 50mg/40mg tablets', 'Furosemide'),"
