type,type,code,description,standardised_name,concat,,,,
BNF,ARB,0205052ACAAAEAE,Generic Sevikar HCT 40mg/10mg/25mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACAAAEAE', 'Generic Sevikar HCT 40mg/10mg/25mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACBBAAAA,Sevikar HCT 20mg/5mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACBBAAAA', 'Sevikar HCT 20mg/5mg/12.5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACBBABAB,Sevikar HCT 40mg/5mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACBBABAB', 'Sevikar HCT 40mg/5mg/12.5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACBBACAC,Sevikar HCT 40mg/10mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACBBACAC', 'Sevikar HCT 40mg/10mg/12.5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACBBADAD,Sevikar HCT 40mg/5mg/25mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACBBADAD', 'Sevikar HCT 40mg/5mg/25mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACBBAEAE,Sevikar HCT 40mg/10mg/25mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACBBAEAE', 'Sevikar HCT 40mg/10mg/25mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ADAAAAAA,Azilsartan medoxomil 20mg tablets,Azilsartan,"  ('BNF', 'ARB', '0205052ADAAAAAA', 'Azilsartan medoxomil 20mg tablets', 'Azilsartan'),",,,,
BNF,ARB,0205052ADAAABAB,Azilsartan medoxomil 40mg tablets,Azilsartan,"  ('BNF', 'ARB', '0205052ADAAABAB', 'Azilsartan medoxomil 40mg tablets', 'Azilsartan'),",,,,
BNF,ARB,0205052ADAAACAC,Azilsartan medoxomil 80mg tablets,Azilsartan,"  ('BNF', 'ARB', '0205052ADAAACAC', 'Azilsartan medoxomil 80mg tablets', 'Azilsartan'),",,,,
BNF,ARB,0205052ADBBAAAA,Edarbi 20mg tablets,Azilsartan,"  ('BNF', 'ARB', '0205052ADBBAAAA', 'Edarbi 20mg tablets', 'Azilsartan'),",,,,
BNF,ARB,0205052ADBBABAB,Edarbi 40mg tablets,Azilsartan,"  ('BNF', 'ARB', '0205052ADBBABAB', 'Edarbi 40mg tablets', 'Azilsartan'),",,,,
BNF,ARB,0205052ADBBACAC,Edarbi 80mg tablets,Azilsartan,"  ('BNF', 'ARB', '0205052ADBBACAC', 'Edarbi 80mg tablets', 'Azilsartan'),",,,,
BNF,ARB,0205052B0AAAAAA,Olmesartan medoxomil 10mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052B0AAAAAA', 'Olmesartan medoxomil 10mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052B0AAABAB,Olmesartan medoxomil 20mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052B0AAABAB', 'Olmesartan medoxomil 20mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052B0AAACAC,Olmesartan medoxomil 40mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052B0AAACAC', 'Olmesartan medoxomil 40mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052B0AAADAD,Olmesartan medoxomil 10mg/5ml oral liquid,Olmesartan,"  ('BNF', 'ARB', '0205052B0AAADAD', 'Olmesartan medoxomil 10mg/5ml oral liquid', 'Olmesartan'),",,,,
BNF,ARB,0205052B0BBAAAA,Olmetec 10mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052B0BBAAAA', 'Olmetec 10mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052B0BBABAB,Olmetec 20mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052B0BBABAB', 'Olmetec 20mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052B0BBACAC,Olmetec 40mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052B0BBACAC', 'Olmetec 40mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052C0AAAAAA,Candesartan 2mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0AAAAAA', 'Candesartan 2mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0AAABAB,Candesartan 4mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0AAABAB', 'Candesartan 4mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0AAACAC,Candesartan 8mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0AAACAC', 'Candesartan 8mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0AAADAD,Candesartan 16mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0AAADAD', 'Candesartan 16mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0AAAHAH,Candesartan 32mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0AAAHAH', 'Candesartan 32mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0AAAIAI,Candesartan 4mg/5ml oral liquid,Candesartan,"  ('BNF', 'ARB', '0205052C0AAAIAI', 'Candesartan 4mg/5ml oral liquid', 'Candesartan'),",,,,
BNF,ARB,0205052C0AAAJAJ,Candesartan 8mg/5ml oral liquid,Candesartan,"  ('BNF', 'ARB', '0205052C0AAAJAJ', 'Candesartan 8mg/5ml oral liquid', 'Candesartan'),",,,,
BNF,ARB,0205052C0AAAKAK,Candesartan 16mg/5ml oral solution,Candesartan,"  ('BNF', 'ARB', '0205052C0AAAKAK', 'Candesartan 16mg/5ml oral solution', 'Candesartan'),",,,,
BNF,ARB,0205052C0BBAAAA,Amias 2mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0BBAAAA', 'Amias 2mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0BBABAB,Amias 4mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0BBABAB', 'Amias 4mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0BBACAC,Amias 8mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0BBACAC', 'Amias 8mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0BBADAD,Amias 16mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0BBADAD', 'Amias 16mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052C0BBAEAH,Amias 32mg tablets,Candesartan,"  ('BNF', 'ARB', '0205052C0BBAEAH', 'Amias 32mg tablets', 'Candesartan'),",,,,
BNF,ARB,0205052I0AAAAAA,Irbesartan 75mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAAAAA', 'Irbesartan 75mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAABAB,Irbesartan 150mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAABAB', 'Irbesartan 150mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAACAC,Irbesartan 300mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAACAC', 'Irbesartan 300mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAAFAF,Irbesartan 150mg/5ml oral suspension,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAAFAF', 'Irbesartan 150mg/5ml oral suspension', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAAGAG,Irbesartan 300mg/5ml oral suspension,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAAGAG', 'Irbesartan 300mg/5ml oral suspension', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAAIAI,Irbesartan 300mg oral powder sachets,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAAIAI', 'Irbesartan 300mg oral powder sachets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAAJAJ,Irbesartan 20mg oral powder sachets,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAAJAJ', 'Irbesartan 20mg oral powder sachets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAAKAK,Irbesartan 30mg oral powder sachets,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAAKAK', 'Irbesartan 30mg oral powder sachets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAALAL,Irbesartan 37.5mg oral powder sachets,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAALAL', 'Irbesartan 37.5mg oral powder sachets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0AAAMAM,Irbesartan 100mg/5ml oral suspension,Irbesartan,"  ('BNF', 'ARB', '0205052I0AAAMAM', 'Irbesartan 100mg/5ml oral suspension', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BBAAAA,Aprovel 75mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BBAAAA', 'Aprovel 75mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BBABAB,Aprovel 150mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BBABAB', 'Aprovel 150mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BBACAC,Aprovel 300mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BBACAC', 'Aprovel 300mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BDAAAA,Sabervel 75mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BDAAAA', 'Sabervel 75mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BDABAB,Sabervel 150mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BDABAB', 'Sabervel 150mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BDACAC,Sabervel 300mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BDACAC', 'Sabervel 300mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BEAAAA,Ifirmasta 75mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BEAAAA', 'Ifirmasta 75mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BEABAB,Ifirmasta 150mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BEABAB', 'Ifirmasta 150mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052I0BEACAC,Ifirmasta 300mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052I0BEACAC', 'Ifirmasta 300mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052N0AAAAAA,Losartan 25mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0AAAAAA', 'Losartan 25mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0AAABAB,Losartan 50mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0AAABAB', 'Losartan 50mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0AAADAD,Losartan 100mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0AAADAD', 'Losartan 100mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0AAAEAE,Losartan 50mg/5ml oral solution,Losartan,"  ('BNF', 'ARB', '0205052N0AAAEAE', 'Losartan 50mg/5ml oral solution', 'Losartan'),",,,,
BNF,ARB,0205052N0AAAFAF,Losartan 100mg/5ml oral liquid,Losartan,"  ('BNF', 'ARB', '0205052N0AAAFAF', 'Losartan 100mg/5ml oral liquid', 'Losartan'),",,,,
BNF,ARB,0205052N0AAAGAG,Losartan 25mg/5ml oral liquid,Losartan,"  ('BNF', 'ARB', '0205052N0AAAGAG', 'Losartan 25mg/5ml oral liquid', 'Losartan'),",,,,
BNF,ARB,0205052N0AAAHAH,Losartan 12.5mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0AAAHAH', 'Losartan 12.5mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0AAAIAI,Losartan 2.5mg/ml oral suspension sugar free,Losartan,"  ('BNF', 'ARB', '0205052N0AAAIAI', 'Losartan 2.5mg/ml oral suspension sugar free', 'Losartan'),",,,,
BNF,ARB,0205052N0AAAJAJ,Losartan 50mg/5ml oral suspension,Losartan,"  ('BNF', 'ARB', '0205052N0AAAJAJ', 'Losartan 50mg/5ml oral suspension', 'Losartan'),",,,,
BNF,ARB,0205052N0AAAKAK,Losartan 20mg/5ml oral suspension,Losartan,"  ('BNF', 'ARB', '0205052N0AAAKAK', 'Losartan 20mg/5ml oral suspension', 'Losartan'),",,,,
BNF,ARB,0205052N0AAALAL,Losartan 12.5mg/5ml oral suspension,Losartan,"  ('BNF', 'ARB', '0205052N0AAALAL', 'Losartan 12.5mg/5ml oral suspension', 'Losartan'),",,,,
BNF,ARB,0205052N0BBAAAA,Cozaar 25mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0BBAAAA', 'Cozaar 25mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0BBABAB,Cozaar 50mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0BBABAB', 'Cozaar 50mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0BBACAD,Cozaar 100mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0BBACAD', 'Cozaar 100mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0BBADAH,Cozaar 12.5mg tablets,Losartan,"  ('BNF', 'ARB', '0205052N0BBADAH', 'Cozaar 12.5mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052N0BBAEAI,Cozaar 2.5mg/ml oral suspension,Losartan,"  ('BNF', 'ARB', '0205052N0BBAEAI', 'Cozaar 2.5mg/ml oral suspension', 'Losartan'),",,,,
BNF,ARB,0205052P0AAAAAA,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets,Losartan,"  ('BNF', 'ARB', '0205052P0AAAAAA', 'Losartan 50mg / Hydrochlorothiazide 12.5mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052P0AAABAB,Losartan 100mg / Hydrochlorothiazide 25mg tablets,Losartan,"  ('BNF', 'ARB', '0205052P0AAABAB', 'Losartan 100mg / Hydrochlorothiazide 25mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052P0AAACAC,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets,Losartan,"  ('BNF', 'ARB', '0205052P0AAACAC', 'Losartan 100mg / Hydrochlorothiazide 12.5mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052P0BBAAAA,Cozaar-Comp 50mg/12.5mg tablets,Losartan,"  ('BNF', 'ARB', '0205052P0BBAAAA', 'Cozaar-Comp 50mg/12.5mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052P0BBABAB,Cozaar-Comp 100mg/25mg tablets,Losartan,"  ('BNF', 'ARB', '0205052P0BBABAB', 'Cozaar-Comp 100mg/25mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052P0BBACAC,Cozaar-Comp 100mg/12.5mg tablets,Losartan,"  ('BNF', 'ARB', '0205052P0BBACAC', 'Cozaar-Comp 100mg/12.5mg tablets', 'Losartan'),",,,,
BNF,ARB,0205052Q0AAAAAA,Telmisartan 40mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0AAAAAA', 'Telmisartan 40mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0AAABAB,Telmisartan 80mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0AAABAB', 'Telmisartan 80mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0AAACAC,Telmisartan 20mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0AAACAC', 'Telmisartan 20mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0AAADAD,Telmisartan 40mg/5ml oral suspension,Telmisartan,"  ('BNF', 'ARB', '0205052Q0AAADAD', 'Telmisartan 40mg/5ml oral suspension', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0BBAAAA,Micardis 40mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0BBAAAA', 'Micardis 40mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0BBABAB,Micardis 80mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0BBABAB', 'Micardis 80mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0BBACAC,Micardis 20mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0BBACAC', 'Micardis 20mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0BCAAAA,Tolura 40mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0BCAAAA', 'Tolura 40mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0BCABAB,Tolura 80mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0BCABAB', 'Tolura 80mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052Q0BCACAC,Tolura 20mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052Q0BCACAC', 'Tolura 20mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0AAAAAA,Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0AAAAAA', 'Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0AAABAB,Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0AAABAB', 'Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0AAACAC,Telmisartan 80mg / Hydrochlorothiazide 25mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0AAACAC', 'Telmisartan 80mg / Hydrochlorothiazide 25mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BBAAAA,MicardisPlus 40mg/12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BBAAAA', 'MicardisPlus 40mg/12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BBABAB,MicardisPlus 80mg/12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BBABAB', 'MicardisPlus 80mg/12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BBACAC,MicardisPlus 80mg/25mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BBACAC', 'MicardisPlus 80mg/25mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BCAAAA,Actelsar HCT 40mg/12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BCAAAA', 'Actelsar HCT 40mg/12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BCABAB,Actelsar HCT 80mg/12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BCABAB', 'Actelsar HCT 80mg/12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BCACAC,Actelsar HCT 80mg/25mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BCACAC', 'Actelsar HCT 80mg/25mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BDAAAA,Tolucombi 40mg/12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BDAAAA', 'Tolucombi 40mg/12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BDABAB,Tolucombi 80mg/12.5mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BDABAB', 'Tolucombi 80mg/12.5mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052R0BDACAC,Tolucombi 80mg/25mg tablets,Telmisartan,"  ('BNF', 'ARB', '0205052R0BDACAC', 'Tolucombi 80mg/25mg tablets', 'Telmisartan'),",,,,
BNF,ARB,0205052V0AAAAAA,Valsartan 40mg capsules,Valsartan,"  ('BNF', 'ARB', '0205052V0AAAAAA', 'Valsartan 40mg capsules', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAABAB,Valsartan 80mg capsules,Valsartan,"  ('BNF', 'ARB', '0205052V0AAABAB', 'Valsartan 80mg capsules', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAACAC,Valsartan 160mg capsules,Valsartan,"  ('BNF', 'ARB', '0205052V0AAACAC', 'Valsartan 160mg capsules', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAADAD,Valsartan 40mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052V0AAADAD', 'Valsartan 40mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAAEAE,Valsartan 40mg/5ml oral liquid,Valsartan,"  ('BNF', 'ARB', '0205052V0AAAEAE', 'Valsartan 40mg/5ml oral liquid', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAAFAF,Valsartan 320mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052V0AAAFAF', 'Valsartan 320mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAAGAG,Valsartan 160mg/5ml oral liquid,Valsartan,"  ('BNF', 'ARB', '0205052V0AAAGAG', 'Valsartan 160mg/5ml oral liquid', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAAHAH,Valsartan 160mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052V0AAAHAH', 'Valsartan 160mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAAIAI,Valsartan 80mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052V0AAAIAI', 'Valsartan 80mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052V0AAAJAJ,Valsartan 3mg/ml oral solution,Valsartan,"  ('BNF', 'ARB', '0205052V0AAAJAJ', 'Valsartan 3mg/ml oral solution', 'Valsartan'),",,,,
BNF,ARB,0205052V0BBAAAA,Diovan 40mg capsules,Valsartan,"  ('BNF', 'ARB', '0205052V0BBAAAA', 'Diovan 40mg capsules', 'Valsartan'),",,,,
BNF,ARB,0205052V0BBABAB,Diovan 80mg capsules,Valsartan,"  ('BNF', 'ARB', '0205052V0BBABAB', 'Diovan 80mg capsules', 'Valsartan'),",,,,
BNF,ARB,0205052V0BBACAC,Diovan 160mg capsules,Valsartan,"  ('BNF', 'ARB', '0205052V0BBACAC', 'Diovan 160mg capsules', 'Valsartan'),",,,,
BNF,ARB,0205052V0BBADAD,Diovan 40mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052V0BBADAD', 'Diovan 40mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052V0BBAEAF,Diovan 320mg tablets,Valsartan,"  ('BNF', 'ARB', '0205052V0BBAEAF', 'Diovan 320mg tablets', 'Valsartan'),",,,,
BNF,ARB,0205052V0BBAFAJ,Diovan 3mg/1ml oral solution,Valsartan,"  ('BNF', 'ARB', '0205052V0BBAFAJ', 'Diovan 3mg/1ml oral solution', 'Valsartan'),",,,,
BNF,ARB,0205052W0AAAAAA,Eprosartan 300mg tablets,Eprosartan,"  ('BNF', 'ARB', '0205052W0AAAAAA', 'Eprosartan 300mg tablets', 'Eprosartan'),",,,,
BNF,ARB,0205052W0AAABAB,Eprosartan 400mg tablets,Eprosartan,"  ('BNF', 'ARB', '0205052W0AAABAB', 'Eprosartan 400mg tablets', 'Eprosartan'),",,,,
BNF,ARB,0205052W0AAACAC,Eprosartan 600mg tablets,Eprosartan,"  ('BNF', 'ARB', '0205052W0AAACAC', 'Eprosartan 600mg tablets', 'Eprosartan'),",,,,
BNF,ARB,0205052W0AAADAD,Eprosartan 300mg/5ml oral liquid,Eprosartan,"  ('BNF', 'ARB', '0205052W0AAADAD', 'Eprosartan 300mg/5ml oral liquid', 'Eprosartan'),",,,,
BNF,ARB,0205052W0BBAAAA,Teveten 300mg tablets,Eprosartan,"  ('BNF', 'ARB', '0205052W0BBAAAA', 'Teveten 300mg tablets', 'Eprosartan'),",,,,
BNF,ARB,0205052W0BBABAB,Teveten 400mg tablets,Eprosartan,"  ('BNF', 'ARB', '0205052W0BBABAB', 'Teveten 400mg tablets', 'Eprosartan'),",,,,
